numero de elementos , tempo sequencial , tempo paralelo , tempo overhead,,
1,0.000182602,0.009364281,0.004975487,,0.9029316375
100,0.000300746,0.00904269,0.006828488,,0.7122538927
200,0.000500661,0.011641988,0.011901129,,0.7888237195
300,0.00160501,0.018201186,0.014395202,,
400,0.001753501,0.022407038,0.014569394,,
500,0.00150153,0.028304875,0.017146712,,
600,0.000939156,0.027259378,0.015988797,,
700,0.001872796,0.02799365,0.013527422,,
800,0.001016147,0.021537911,0.019546821,,
900,0.001033251,0.024933293,0.013307649,,
1000,0.001269065,0.01942237,0.011316053,,
1100,0.000779204,0.016875691,0.010613271,,
1200,0.001334582,0.019099894,0.010608037,,
1300,0.001402933,0.01583645,0.009253835,,
1400,0.000934825,0.012331016,0.008366373,,
1500,0.001000217,0.011105843,0.00850161,,
1600,0.000335828,0.010516293,0.009058272,,
1700,0.00066939,0.011118226,0.009426006,,
1800,0.000694431,0.011488189,0.013865021,,
1900,0.00073912,0.011627691,0.010084979,,
2000,0.000747649,0.011836919,0.01021549,,
2100,0.001044065,0.012159707,0.010690004,,
2200,0.001071749,0.012808403,0.010566654,,
2300,0.001121865,0.013320963,0.011015249,,
2400,0.001128662,0.014023711,0.011445895,,
2500,0.001181578,0.014100899,0.011278511,,
2600,0.001172924,0.014247414,0.012481713,,
2700,0.001206305,0.01500086,0.012394769,,
2800,0.001245734,0.014830485,0.012660307,,
2900,0.001318185,0.015250257,0.012596944,,
3000,0.001291068,0.014874916,0.012344207,,
3100,0.000755485,0.015284786,0.014862018,,
3200,0.00138895,0.015834071,0.013331637,,
3300,0.001364598,0.01733126,0.014322196,,
3400,0.001391619,0.016665248,0.013964557,,
3500,0.001431628,0.017366579,0.014337314,,
3600,0.001485403,0.017791908,0.014226869,,
3700,0.001483282,0.018547161,0.014369574,,
3800,0.001522431,0.021508523,0.014682669,,
3900,0.001524715,0.018765644,0.015637333,,
4000,0.000879035,0.018415925,0.015922075,,
4100,0.002190089,0.019765276,0.016118649,,
4200,0.002173096,0.020438438,0.01688338,,
4300,0.002216287,0.020484626,0.015332001,,
4400,0.002228113,0.020391066,0.016219823,,
4500,0.002280438,0.021998367,0.016843637,,
4600,0.003467162,0.022298183,0.017312597,,
4700,0.002347863,0.021824739,0.017286533,,
4800,0.001460344,0.022253044,0.017858358,,
4900,0.002203339,0.022381176,0.017671956,,
5000,0.002222481,0.022889277,0.018377681,,
5100,0.001701391,0.022865554,0.018277267,,
5200,0.001892737,0.023206469,0.019161151,,
5300,0.001904369,0.023707512,0.018494,,
5400,0.001912748,0.023782156,0.01894444,,
5500,0.001996457,0.024014068,0.019759339,,
5600,0.00179018,0.025203537,0.01954629,,
5700,0.001823596,0.025929159,0.019970765,,
5800,0.001862557,0.025779802,0.019991172,,
5900,0.00188268,0.026873492,0.02079168,,
6000,0.001886884,0.026191086,0.020398377,,
6100,0.001959275,0.026512756,0.02037245,,
6200,0.001984911,0.027136772,0.021495624,,
6300,0.001221272,0.026215494,0.021700409,,
6400,0.002033316,0.026286483,0.021628724,,
6500,0.001488589,0.026340402,0.021237978,,
6600,0.002065673,0.031177623,0.021903036,,
6700,0.002126512,0.027482808,0.022848365,,
6800,0.001870265,0.028578947,0.023990023,,
6900,0.001823473,0.029155555,0.022687563,,
7000,0.001834039,0.029286004,0.023575041,,
7100,0.001830449,0.029420539,0.023374856,,
7200,0.001869389,0.029848607,0.023936205,,
7300,0.001374916,0.031325208,0.026438866,,
7400,0.001916096,0.031055486,0.024556147,,
7500,0.001199084,0.029546688,0.024022089,,
7600,0.001975103,0.030941515,0.02473446,,
7700,0.001613767,0.03181837,0.024699206,,
7800,0.002084936,0.033823627,0.02673292,,
7900,0.00206297,0.032525828,0.025049633,,
8000,0.002096356,0.032983537,0.025089489,,
8100,0.002116226,0.034554646,0.028201546,,
8200,0.002182101,0.034170616,0.026632386,,
8300,0.001588888,0.033829515,0.027745882,,
8400,0.002234801,0.034448617,0.028094204,,
8500,0.002259729,0.035780686,0.028615296,,
8600,0.001645937,0.035619292,0.02781989,,
8700,0.002066866,0.036354944,0.028924273,,
8800,0.002328223,0.037233409,0.02884515,,
8900,0.00187892,0.036489618,0.029004249,,
9000,0.001479247,0.036067806,0.027721952,,
9100,0.002037481,0.035394788,0.03060239,,
9200,0.002106812,0.033517897,0.025466258,,
9300,0.002482432,0.036269213,0.028503819,,
9400,0.001175388,0.03520827,0.028623497,,
9500,0.002537354,0.034971609,0.027484261,,
9600,0.002109034,0.034241556,0.028568061,,
9700,0.001894241,0.040474811,0.031964893,,
9800,0.002410737,0.036053239,0.028133127,,
9900,0.002677573,0.037909309,0.028942533,,
10000,0.00126093,0.042018656,0.031524413,,
20000,0.005385295,0.0696911,0.059479227,,
30000,0.007262862,0.108304435,0.085152306,,
40000,0.009547195,0.143659984,0.120718476,,
50000,0.01173273,0.159992254,0.143595909,,
60000,0.013351077,0.21765407,0.172042353,,
