numero de elementos , tempo sequencial , tempo paralelo , tempo overhead,,
1,0.000168433,0.007514209,0.006607894,,0.8965120132
100,0.000301641,0.010531912,0.008120184,,0.7283440162
200,0.000864303,0.018953236,0.012212163,,0.8124196948
300,0.001146737,0.0182932,0.010440596,,
400,0.001282526,0.025120596,0.012536882,,
500,0.001660661,0.026808582,0.016175064,,
600,0.002057751,0.026535859,0.014900831,,
700,0.001099777,0.042039506,0.013873393,,
800,0.001019157,0.024941243,0.01475634,,
900,0.001064833,0.021763649,0.014166918,,
1000,0.001314276,0.019810383,0.010252174,,
1100,0.000800503,0.019144479,0.010890753,,
1200,0.000968582,0.017113795,0.009394943,,
1300,0.000865216,0.012215353,0.008697785,,
1400,0.00092891,0.010276082,0.009040777,,
1500,0.000409851,0.012822294,0.009245556,,
1600,0.000721595,0.010990731,0.009451116,,
1700,0.000674696,0.010907371,0.009839937,,
1800,0.000704303,0.015105416,0.010485672,,
1900,0.000737141,0.011722539,0.01055263,,
2000,0.000745585,0.012098463,0.010613882,,
2100,0.001043711,0.014014976,0.011299294,,
2200,0.001093207,0.012435226,0.011405545,,
2300,0.001107187,0.01329193,0.011864558,,
2400,0.001128431,0.013497971,0.012245193,,
2500,0.001158516,0.013565374,0.011350117,,
2600,0.001175134,0.014121527,0.013273659,,
2700,0.001219412,0.015704044,0.013230723,,
2800,0.001288768,0.017480192,0.01360505,,
2900,0.001314649,0.015234342,0.014126271,,
3000,0.001318201,0.01815902,0.013586478,,
3100,0.001304919,0.017605235,0.013423404,,
3200,0.001384445,0.017557681,0.016933208,,
3300,0.001384144,0.01769454,0.015619124,,
3400,0.001445342,0.01934729,0.015230131,,
3500,0.001422695,0.018014538,0.015211278,,
3600,0.001478557,0.017867827,0.015861819,,
3700,0.001511747,0.019482558,0.016675613,,
3800,0.001512554,0.019818458,0.017236499,,
3900,0.001551727,0.022537633,0.020779706,,
4000,0.001644819,0.020636824,0.015739652,,
4100,0.002149036,0.021601163,0.017756981,,
4200,0.002181014,0.020982543,0.01747595,,
4300,0.002260798,0.021042866,0.018316614,,
4400,0.001363679,0.021738441,0.018049724,,
4500,0.002290303,0.022768802,0.017930371,,
4600,0.002352058,0.022070563,0.018189269,,
4700,0.002326107,0.022847798,0.018018191,,
4800,0.002498169,0.022491325,0.018506867,,
4900,0.002215493,0.022945098,0.019194228,,
5000,0.002250144,0.023258732,0.019422856,,
5100,0.002079707,0.023138045,0.023628994,,
5200,0.001892897,0.029623535,0.024787972,,
5300,0.001918607,0.024698669,0.020974861,,
5400,0.00194967,0.025915373,0.021016587,,
5500,0.001984228,0.025413193,0.021745771,,
5600,0.001803582,0.026573045,0.021735933,,
5700,0.001817135,0.025586468,0.02028213,,
5800,0.001847608,0.026857666,0.021990721,,
5900,0.001902509,0.026384105,0.022204689,,
6000,0.001934257,0.025569331,0.020718039,,
6100,0.001970279,0.025652086,0.023765655,,
6200,0.001989202,0.027442693,0.021354093,,
6300,0.002018735,0.028610743,0.020204478,,
6400,0.001052364,0.025487497,0.023106996,,
6500,0.002062226,0.028630857,0.023700149,,
6600,0.002100045,0.028127449,0.02350953,,
6700,0.001908727,0.029663908,0.024128474,,
6800,0.00153742,0.029075628,0.024853997,,
6900,0.001845947,0.029491484,0.023965013,,
7000,0.001841795,0.02981645,0.023789031,,
7100,0.001738021,0.03077282,0.024937704,,
7200,0.001162309,0.030292175,0.026911449,,
7300,0.001906146,0.03251793,0.025218226,,
7400,0.001939231,0.031130537,0.025463191,,
7500,0.001880932,0.032399744,0.025033422,,
7600,0.002022607,0.032876205,0.025729164,,
7700,0.002032398,0.032488269,0.027150615,,
7800,0.001888609,0.033293614,0.026898695,,
7900,0.002098268,0.033240186,0.027360672,,
8000,0.002112631,0.033900057,0.030128622,,
8100,0.002168033,0.033802772,0.029145434,,
8200,0.002174504,0.033943399,0.028418311,,
8300,0.002200074,0.039867842,0.030853895,,
8400,0.001937364,0.035286131,0.029314414,,
8500,0.002271284,0.035854091,0.029836733,,
8600,0.001533707,0.034968399,0.030187038,,
8700,0.002316301,0.036086885,0.029708068,,
8800,0.002391341,0.036786626,0.030099831,,
8900,0.001820194,0.035018834,0.027924691,,
9000,0.001241973,0.035340954,0.030397036,,
9100,0.002447038,0.035327119,0.030912448,,
9200,0.002484471,0.037981973,0.03144871,,
9300,0.002491992,0.037694186,0.032077955,,
9400,0.001306474,0.038455974,0.03121307,,
9500,0.002566928,0.041785887,0.031834188,,
9600,0.00261732,0.039682002,0.031992502,,
9700,0.001910658,0.038153252,0.033624947,,
9800,0.002003236,0.041075137,0.030629549,,
9900,0.002699843,0.040709064,0.03256641,,
10000,0.002719771,0.041365631,0.033980162,,
20000,0.00588888,0.07597952,0.063064785,,
30000,0.007413545,0.110688763,0.09053619,,
40000,0.008534502,0.14362644,0.119298069,,
50000,0.014219325,0.181286425,0.147916776,,
60000,0.011432964,0.337216206,0.174776208,,
70000,0.013668892,0.476903338,0.205114447,,
80000,0.017954479,0.287125834,0.223916599,,
90000,0.018667091,0.335219422,0.254315128,,
100000,0.018927681,0.623288125,0.288890355,,
110000,0.023151903,0.392920815,0.315502865,,
120000,0.024953273,0.429652095,0.346761555,,
130000,0.026849112,0.464026597,0.374927038,,
140000,0.028133774,0.484905413,0.401029624,,
150000,0.030766567,0.533172767,0.432171936,,
160000,0.031646884,0.570355758,0.45965949,,
170000,0.037349504,0.603094736,0.487882089,,
180000,0.035509395,0.638228758,0.513475047,,
190000,0.03597272,0.683666605,0.534985644,,
200000,0.036693597,0.702962951,0.574040184,,
210000,0.039017409,0.754543095,0.601886927,,
220000,0.04341537,0.757688693,0.631089696,,
230000,0.043063991,0.842546614,0.644265794,,
240000,0.046173324,0.851407186,0.681772974,,
250000,0.047512522,0.87035093,0.714970182,,
260000,0.051056623,0.924101816,0.743341359,,
270000,0.054417599,0.946722888,0.772416177,,
280000,0.055921993,0.99986459,0.812261068,,
290000,0.057398077,1.027503732,0.847085159,,
300000,0.058634123,1.082437549,0.886589431,,
310000,0.062006897,1.198753203,0.890669265,,
320000,0.062376294,1.115688044,0.914075815,,
330000,0.065378947,1.14508034,0.944577548,,
