numero de elementos , tempo sequencial , tempo paralelo , tempo overhead,,
1,0.000180405,0.00897228,0.0040535,,0.9208895799
100,0.000303159,0.00999351,0.008775651,,0.7785143492
200,0.000844656,0.014778205,0.009863766,,0.8453938085
300,0.000813449,0.017988673,0.016753156,,
400,0.001615272,0.023560503,0.016209427,,
500,0.002781812,0.027929866,0.019927174,,
600,0.002047522,0.023784945,0.020511275,,
700,0.00143113,0.029300854,0.016519682,,
800,0.00106795,0.025009068,0.014580443,,
900,0.001414405,0.018011029,0.017907789,,
1000,0.0012068,0.019322505,0.011813212,,
1100,0.000767938,0.019053417,0.011926476,,
1200,0.000807247,0.013743984,0.010288471,,
1300,0.000897904,0.010788217,0.009355662,,
1400,0.001168433,0.011250913,0.009698573,,
1500,0.000431177,0.012548306,0.009849303,,
1600,0.000694845,0.011173501,0.010274752,,
1700,0.000937827,0.011943812,0.010989247,,
1800,0.000694958,0.01259248,0.011451655,,
1900,0.000730057,0.012794004,0.011642758,,
2000,0.000746615,0.013198458,0.011941626,,
2100,0.001054415,0.014108384,0.012821813,,
2200,0.001070694,0.014501197,0.012456723,,
2300,0.000603373,0.013847685,0.013055754,,
2400,0.001143454,0.0144726,0.012910507,,
2500,0.000560994,0.014619138,0.012752466,,
2600,0.00057738,0.014490401,0.013139679,,
2700,0.000580101,0.014940446,0.013302096,,
2800,0.000590691,0.015311608,0.013921068,,
2900,0.001324149,0.016363252,0.014058754,,
3000,0.001301564,0.016321141,0.018309871,,
3100,0.001313331,0.017390237,0.015336272,,
3200,0.00116863,0.019135628,0.017806125,,
3300,0.001386044,0.018032538,0.016041899,,
3400,0.00145839,0.018206295,0.016091366,,
3500,0.001422351,0.018705813,0.016422079,,
3600,0.001483678,0.018596271,0.016793264,,
3700,0.00148287,0.019719666,0.02214924,,
3800,0.000918618,0.016864869,0.01501523,,
3900,0.001244267,0.017678888,0.015225377,,
4000,0.001638068,0.020875132,0.01771821,,
4100,0.002150805,0.021284263,0.019363102,,
4200,0.002179824,0.046818237,0.057368659,,
4300,0.002232678,0.121297529,0.431093246,,
4400,0.002215838,0.162379113,0.072799727,,
4500,0.002319696,0.024241929,0.018310482,,
4600,0.002319259,0.021262468,0.018267081,,
4700,0.00228969,0.021350759,0.019032823,,
4800,0.002521586,0.021829724,0.018976691,,
4900,0.002173584,0.022364611,0.019237969,,
5000,0.002231626,0.022724543,0.019759662,,
5100,0.001191047,0.055573398,0.061416658,,
5200,0.001870578,0.08355502,0.062975404,,
5300,0.001896595,0.076372645,0.051700342,,
