numero de elementos ; tempo
1 ; 5.1368E-4
100 ; 3.53284E-4
200 ; 5.73386E-4
300 ; 9.37715E-4
400 ; 0.001327806
500 ; 0.001697687
600 ; 0.002192874
700 ; 0.0012013
800 ; 0.001151916
900 ; 0.001208449
1000 ; 0.001207522
1100 ; 0.001502873
1200 ; 0.001637843
1300 ; 0.001737669
1400 ; 0.001862996
1500 ; 0.001907618
1600 ; 0.001136272
1700 ; 9.06989E-4
1800 ; 6.97717E-4
1900 ; 4.52616E-4
2000 ; 4.68457E-4
2100 ; 6.18037E-4
2200 ; 6.32467E-4
2300 ; 6.60089E-4
2400 ; 6.73605E-4
2500 ; 6.93825E-4
2600 ; 5.55547E-4
2700 ; 5.65745E-4
2800 ; 5.63998E-4
2900 ; 5.93756E-4
3000 ; 5.94314E-4
3100 ; 5.92187E-4
3200 ; 6.45895E-4
3300 ; 6.39129E-4
3400 ; 6.36373E-4
3500 ; 6.4495E-4
3600 ; 6.64013E-4
3700 ; 6.78606E-4
3800 ; 6.88665E-4
3900 ; 6.99798E-4
4000 ; 7.18827E-4
4100 ; 9.69901E-4
4200 ; 0.001002017
4300 ; 0.001020204
4400 ; 0.001002673
4500 ; 0.001028095
4600 ; 0.001066296
4700 ; 0.001055826
4800 ; 0.001154181
4900 ; 0.001135397
5000 ; 0.001048004
5100 ; 0.001070322
5200 ; 0.001074798
5300 ; 0.001101209
5400 ; 0.001037008
5500 ; 9.27499E-4
5600 ; 9.32008E-4
5700 ; 9.32412E-4
5800 ; 9.32265E-4
5900 ; 9.36443E-4
6000 ; 0.001070119
6100 ; 8.70753E-4
6200 ; 8.76707E-4
6300 ; 8.92165E-4
6400 ; 9.10339E-4
6500 ; 9.15756E-4
6600 ; 9.31298E-4
6700 ; 9.9742E-4
6800 ; 0.001110524
6900 ; 9.82935E-4
7000 ; 8.43881E-4
7100 ; 8.51337E-4
7200 ; 8.62277E-4
7300 ; 8.74719E-4
7400 ; 8.86495E-4
7500 ; 8.9119E-4
7600 ; 8.8248E-4
7700 ; 8.93729E-4
7800 ; 9.11309E-4
7900 ; 9.3006E-4
8000 ; 9.33364E-4
8100 ; 9.50512E-4
8200 ; 9.59375E-4
8300 ; 9.77609E-4
8400 ; 9.83796E-4
8500 ; 0.001003162
8600 ; 0.001015793
8700 ; 0.001021347
8800 ; 0.001052402
8900 ; 0.001050772
9000 ; 0.001075108
9100 ; 0.00108063
9200 ; 0.00108705
9300 ; 0.001104674
9400 ; 0.001115158
9500 ; 0.001129477
9600 ; 0.001147285
9700 ; 0.001158553
9800 ; 0.001167406
9900 ; 0.001190899
10000 ; 0.001189962
20000 ; 0.002607244
30000 ; 0.00422003
40000 ; 0.005659432
50000 ; 0.007253229
60000 ; 0.008897685
70000 ; 0.010660312
80000 ; 0.018309237
90000 ; 0.013927593
100000 ; 0.015710158
110000 ; 0.01743689
120000 ; 0.019226789
130000 ; 0.021014846
140000 ; 0.022795944
150000 ; 0.030309941
160000 ; 0.026326159
170000 ; 0.028124173
180000 ; 0.030145466
190000 ; 0.031899486
200000 ; 0.035791385
210000 ; 0.03606386
220000 ; 0.038930598
230000 ; 0.039531367
240000 ; 0.046770746
250000 ; 0.043912982
260000 ; 0.045688973
270000 ; 0.047547647
280000 ; 0.049859375
290000 ; 0.052397232
300000 ; 0.056591617
310000 ; 0.056519541
320000 ; 0.058828083
330000 ; 0.062939508
340000 ; 0.06394964
350000 ; 0.068285587
360000 ; 0.068742992
370000 ; 0.070498759
380000 ; 0.073198648
390000 ; 0.075581998
400000 ; 0.078551777
410000 ; 0.081593639
420000 ; 0.082780668
430000 ; 0.098715366
440000 ; 0.087575165
450000 ; 0.090378206
460000 ; 0.092490031
470000 ; 0.096546875
480000 ; 0.099181338
490000 ; 0.1037848
500000 ; 0.105904821
510000 ; 0.106015425
520000 ; 0.110709763
530000 ; 0.111006332
540000 ; 0.11357776
550000 ; 0.116599559
560000 ; 0.119246641
570000 ; 0.123485505
580000 ; 0.123945064
590000 ; 0.125636097
600000 ; 0.129685957
610000 ; 0.130359677
620000 ; 0.138132559
630000 ; 0.146044219
640000 ; 0.146780714
650000 ; 0.14315812
660000 ; 0.149833558
670000 ; 0.14673774
680000 ; 0.150589347
690000 ; 0.152625493
700000 ; 0.15413098
710000 ; 0.160623471
720000 ; 0.163091824
730000 ; 0.164062374
740000 ; 0.168743352
750000 ; 0.169017444
760000 ; 0.172259251
770000 ; 0.177230179
780000 ; 0.179680716
790000 ; 0.18136043
800000 ; 0.183805619
810000 ; 0.187654966
820000 ; 0.193029143
830000 ; 0.195354832
840000 ; 0.196137079
850000 ; 0.196074156
860000 ; 0.198855678
870000 ; 0.224087274
880000 ; 0.205963114
890000 ; 0.214107303
900000 ; 0.210329252
910000 ; 0.214802954
920000 ; 0.216100046
930000 ; 0.217807652
940000 ; 0.221356429
950000 ; 0.224291694
960000 ; 0.226804121
970000 ; 0.240856007
980000 ; 0.232562787
990000 ; 0.255932413
1000000 ; 0.237945834
