numero de elementos , tempo sequencial , tempo paralelo , tempo overhead,,
1,0.000183369,0.007833188,0.005389906,,
100,0.000531242,0.01103092,0.009850147,Média de tempo Paralelo,0.9764877346
200,0.000958737,0.014208059,0.014303924,médita de tempo overhead,0.9123267225
300,0.001185327,0.019204659,0.018377157,porcetagem,93.43%
400,0.002167416,0.020775427,0.022341046,,
500,0.002345036,0.032757248,0.022021233,,
600,0.001201846,0.025658844,0.021399606,,
700,0.001165351,0.020244133,0.016541656,,
800,0.001101945,0.018308414,0.022214103,,
900,0.001021172,0.019938695,0.019783976,,
1000,0.001228538,0.018149206,0.016971529,,
1100,0.0007898,0.015422787,0.011430664,,
1200,0.000818942,0.011253291,0.009915598,,
1300,0.00139518,0.011322227,0.010120325,,
1400,0.001925239,0.012153394,0.010553602,,
1500,0.0004559,0.011678277,0.011227016,,
1600,0.000590578,0.011545376,0.011108126,,
1700,0.000683935,0.011891364,0.011066097,,
1800,0.000703573,0.012577788,0.012307879,,
1900,0.000738512,0.012624335,0.012302652,,
2000,0.000750091,0.013011049,0.013647794,,
2100,0.001053405,0.013669886,0.013418615,,
2200,0.001097922,0.014733001,0.013281507,,
2300,0.000588618,0.014087968,0.013132521,,
2400,0.000620991,0.01471246,0.014300607,,
2500,0.000569592,0.014653835,0.013885994,,
2600,0.000592572,0.015661576,0.014515937,,
2700,0.000608582,0.01594181,0.015169474,,
2800,0.000622822,0.015454339,0.016038417,,
2900,0.000658016,0.017182661,0.015737401,,
3000,0.000652079,0.01705917,0.016277652,,
3100,0.000626799,0.017394679,0.016691702,,
3200,0.00140522,0.032730342,0.017212638,,
3300,0.00140014,0.019040541,0.018050486,,
3400,0.001453404,0.019538145,0.018484997,,
3500,0.001448147,0.019128308,0.018014293,,
3600,0.001485696,0.018711498,0.018161892,,
3700,0.001512453,0.019473389,0.018609685,,
3800,0.001557954,0.020996048,0.019235183,,
3900,0.001549156,0.021330657,0.019630737,,
4000,0.001646308,0.021596508,0.019694015,,
4100,0.002189891,0.022376412,0.021001163,,
4200,0.002213172,0.022660288,0.021151712,,
4300,0.002272701,0.022472261,0.020495015,,
4400,0.002296102,0.023438499,0.021798332,,
4500,0.001100885,0.022280806,0.021344874,,
4600,0.001205279,0.022655063,0.021730911,,
4700,0.002379369,0.024526742,0.022277223,,
4800,0.001281864,0.024356847,0.023171282,,
4900,0.002295529,0.025031539,0.022981114,,
5000,0.00236605,0.025407227,0.029502945,,
5100,0.000965626,0.024900742,0.024260526,,
5200,0.001924398,0.0258847,0.024025182,,
5300,0.001328199,0.025696774,0.025221849,,
5400,0.00184183,0.026823178,0.024714339,,
5500,0.002034587,0.027148841,0.025120744,,
5600,0.001804352,0.027525998,0.025168656,,
5700,0.001857471,0.028126206,0.025616988,,
5800,0.00187292,0.027973583,0.025959165,,
5900,0.001891631,0.029035416,0.02690589,,
6000,0.001953215,0.029076766,0.026531377,,
6100,0.001715619,0.029479723,0.026930259,,
6200,0.001963372,0.029841069,0.027552238,,
6300,0.002000065,0.02997599,0.027607496,,
6400,0.002049349,0.030636612,0.028056549,,
6500,0.001997788,0.030544256,0.028431208,,
6600,0.001580506,0.031565297,0.028666987,,
6700,0.001444432,0.048515493,0.02926291,,
6800,0.001882582,0.032022051,0.029159468,,
6900,0.001824876,0.03216838,0.030398422,,
7000,0.001815791,0.033069842,0.030298654,,
7100,0.001604308,0.032189411,0.030481555,,
7200,0.001853466,0.032961762,0.030755835,,
7300,0.001911521,0.034051373,0.031315115,,
7400,0.001911935,0.034367167,0.031155072,,
7500,0.001410123,0.034267919,0.031477158,,
7600,0.001969839,0.034923146,0.032156935,,
7700,0.001170491,0.035048827,0.032058676,,
7800,0.002062762,0.035674861,0.032688382,,
7900,0.001278193,0.034301431,0.032929507,,
8000,0.001741463,0.036284801,0.033049709,,
8100,0.00180981,0.036401449,0.033396019,,
8200,0.001708385,0.037415775,0.033992325,,
8300,0.00149754,0.037499738,0.034213108,,
8400,0.001606288,0.036970702,0.034755854,,
8500,0.002209769,0.03821005,0.035215614,,
8600,0.002150644,0.038783719,0.035165772,,
8700,0.00183461,0.038670936,0.035370161,,
8800,0.00231229,0.039139611,0.03598755,,
8900,0.002072371,0.0393431,0.041296591,,
9000,0.002367423,0.039927096,0.042121309,,
9100,0.002090058,0.040562851,0.03761097,,
9200,0.002456637,0.040263656,0.037338066,,
9300,0.001647351,0.041357223,0.03822369,,
9400,0.002087828,0.041466465,0.038346567,,
9500,0.001772218,0.041512373,0.03922673,,
9600,0.002034873,0.041767023,0.038842749,,
9700,0.002419146,0.042424564,0.039328831,,
9800,0.002633655,0.043345922,0.039577795,,
9900,0.002637765,0.043470599,0.040083845,,
10000,0.00260419,0.044183663,0.04015397,,
20000,0.005396054,0.080422784,0.074954728,,
30000,0.007386091,0.117893295,0.108944501,,
40000,0.008919177,0.151921797,0.143457215,,
50000,0.012129344,0.193903587,0.17830602,,
60000,0.013732689,0.228917038,0.211038874,,
70000,0.013906184,0.268506883,0.245168622,,
80000,0.019301132,0.301258991,0.283856867,,
90000,0.019256245,0.335460074,0.315115945,,
100000,0.021816642,0.372707501,0.34929327,,
110000,0.023722486,0.412257785,0.383260259,,
120000,0.020742052,0.44475434,0.415549925,,
130000,0.025748421,0.48243108,0.450132956,,
140000,0.029554042,0.518084183,0.483307994,,
150000,0.02962596,0.555211901,0.520905727,,
160000,0.033157518,0.591260522,0.553156686,,
170000,0.030349741,0.626531536,0.586303329,,
180000,0.035834306,0.6653184,0.621769453,,
190000,0.039065854,0.705729908,0.654409256,,
200000,0.041426662,0.740984651,0.688888619,,
210000,0.038717005,0.777057654,0.723117194,,
220000,0.041107009,0.808645392,0.757149176,,
230000,0.046666534,0.841005881,0.801841312,,
240000,0.046950974,0.886925069,0.960797986,,
250000,0.048027722,0.918966477,0.860916615,,
