numero de elementos ; tempo
1 ; 0.006413662
10000 ; 0.196015027
20000 ; 0.142097225
30000 ; 0.11180892
40000 ; 0.148518899
50000 ; 0.184859843
60000 ; 0.219740078
70000 ; 0.387782492
80000 ; 0.291010263
90000 ; 0.326346522
100000 ; 0.364820933
110000 ; 0.394843251
120000 ; 0.429937973
130000 ; 0.467505393
140000 ; 0.498625884
150000 ; 0.539905496
160000 ; 0.574341977
170000 ; 0.596716413
180000 ; 0.641433491
190000 ; 0.678856853
200000 ; 0.714229326
210000 ; 0.751879611
220000 ; 0.781526042
230000 ; 0.819700988
240000 ; 0.851588042
250000 ; 0.888492479
260000 ; 0.921788418
270000 ; 1.084856136
280000 ; 0.922774239
290000 ; 1.013241257
300000 ; 1.065453085
310000 ; 1.093934081
320000 ; 1.136030379
330000 ; 1.178337266
340000 ; 1.215643323
350000 ; 1.242637442
360000 ; 1.274353198
370000 ; 1.281486717
380000 ; 1.318000259
390000 ; 1.33256657
400000 ; 1.370421567
410000 ; 1.424905952
420000 ; 1.462536725
430000 ; 1.509893225
440000 ; 1.554950762
450000 ; 1.577653922
460000 ; 1.616921624
470000 ; 1.674980858
480000 ; 1.707746704
490000 ; 1.746352167
500000 ; 1.789874957
510000 ; 1.804199554
520000 ; 1.842044956
530000 ; 1.873395315
540000 ; 1.930976563
550000 ; 1.949758856
560000 ; 2.003693045
570000 ; 2.028523131
580000 ; 2.063080215
590000 ; 2.21813688
600000 ; 2.126226213
610000 ; 2.085774236
620000 ; 2.198636249
630000 ; 2.218140338
640000 ; 2.271692056
650000 ; 2.302706259
660000 ; 2.358740677
670000 ; 2.386944925
680000 ; 2.412798243
690000 ; 2.452669057
700000 ; 2.48882642
710000 ; 2.530215203
720000 ; 2.589385808
730000 ; 2.569116294
740000 ; 2.63194242
750000 ; 2.685035835
760000 ; 2.683884179
770000 ; 2.739523739
780000 ; 3.038938694
790000 ; 2.799473894
800000 ; 2.814277221
810000 ; 2.880912794
820000 ; 2.923770637
830000 ; 2.936542389
840000 ; 2.989340139
850000 ; 3.007312739
860000 ; 3.066639025
870000 ; 3.091045434
880000 ; 3.107327263
890000 ; 3.169175898
900000 ; 3.208416109
910000 ; 3.21294191
920000 ; 3.260479408
930000 ; 3.26438109
940000 ; 3.352582368
950000 ; 3.358626074
960000 ; 3.412670149
970000 ; 3.440688251
980000 ; 3.530585639
990000 ; 3.528511336
1000000 ; 3.55092847
