numero de elementos ; tempo
1 ; 0.013474921
10000 ; 0.18741784
20000 ; 0.154185811
30000 ; 0.198350775
40000 ; 0.191570676
50000 ; 0.266644253
60000 ; 0.347573168
70000 ; 0.274115343
80000 ; 0.352420429
90000 ; 0.327305404
100000 ; 0.493837497
110000 ; 0.441259529
120000 ; 0.567772145
130000 ; 0.541200635
140000 ; 0.594157415
150000 ; 0.61386453
160000 ; 0.735167223
170000 ; 0.718697485
180000 ; 0.768544289
190000 ; 1.007141888
200000 ; 1.107679389
210000 ; 1.021987004
220000 ; 1.054203097
230000 ; 1.078804998
240000 ; 1.118311835
250000 ; 1.265493532
260000 ; 1.331085225
270000 ; 1.359412611
280000 ; 1.498668417
290000 ; 1.463220276
300000 ; 1.525673069
310000 ; 1.426205354
320000 ; 1.569818342
330000 ; 1.584772735
340000 ; 1.733007049
350000 ; 1.790667446
360000 ; 1.936667034
370000 ; 2.047163132
380000 ; 2.134027157
390000 ; 2.070057029
400000 ; 2.072289719
410000 ; 2.040681245
420000 ; 2.177071538
430000 ; 2.224260125
440000 ; 2.378666283
450000 ; 2.402294345
460000 ; 2.445480041
470000 ; 2.563082555
480000 ; 2.562707076
490000 ; 2.587278506
500000 ; 2.757426085
510000 ; 2.821432777
520000 ; 2.759866427
530000 ; 2.77515106
540000 ; 2.793486854
550000 ; 3.063818476
560000 ; 3.004682368
570000 ; 3.003058662
580000 ; 3.165688534
590000 ; 3.117113877
600000 ; 3.071183142
610000 ; 3.063370861
620000 ; 3.302547323
630000 ; 3.355960664
640000 ; 3.317532859
650000 ; 3.377561617
660000 ; 3.361983224
670000 ; 3.466652244
680000 ; 3.734622068
690000 ; 3.68173922
700000 ; 3.552301453
710000 ; 3.629444824
720000 ; 3.791720269
730000 ; 4.852181165
740000 ; 4.42508271
750000 ; 4.085560346
760000 ; 4.375192022
770000 ; 4.403947054
780000 ; 4.194464625
790000 ; 4.502940344
800000 ; 4.519443192
810000 ; 4.533004661
820000 ; 4.446199846
830000 ; 4.524649664
840000 ; 4.48203864
850000 ; 4.88483852
860000 ; 4.631657572
870000 ; 5.15268814
880000 ; 4.842057186
890000 ; 4.887650488
900000 ; 4.958248746
910000 ; 5.844558197
920000 ; 5.422681394
930000 ; 5.175309856
940000 ; 5.50839452
950000 ; 5.897603479
960000 ; 5.61683114
970000 ; 5.48233365
980000 ; 5.383811451
990000 ; 5.470442267
1000000 ; 5.843551166
