numero de elementos , tempo sequencial , tempo paralelo , tempo overhead,,
1,0.000132808,0.021073567,0.007631709,,0.8908003835
100,0.000528579,0.024357961,0.015231813,,0.6936424064
200,0.000708944,0.033983809,0.020075075,,0.7786732238
300,0.001731193,0.037142895,0.021300929,,
400,0.00125738,0.046015452,0.031133786,,
500,0.003222666,0.049141654,0.027979785,,
600,0.002062041,0.05193878,0.028543727,,
700,0.001158244,0.041403695,0.026900932,,
800,0.001039739,0.033256889,0.019738243,,
900,0.001023159,0.039166744,0.046888614,,
1000,0.001789459,0.032679956,0.021277831,,
1100,0.001578324,0.030345985,0.021161572,,
1200,0.001653257,0.029434012,0.020519809,,
1300,0.001806136,0.031693503,0.019116261,,
1400,0.000932165,0.018981821,0.01463398,,
1500,0.000472346,0.01920535,0.015101148,,
1600,0.000682101,0.014940711,0.015271293,,
1700,0.000682997,0.01763542,0.016190622,,
1800,0.000711415,0.018160177,0.015204222,,
1900,0.000341295,0.018928356,0.016693501,,
2000,0.000356888,0.019777606,0.018143903,,
2100,0.00053626,0.019230492,0.016003483,,
2200,0.001096531,0.020402284,0.015961705,,
2300,0.001113432,0.015603149,0.012073897,,
2400,0.001128995,0.014237508,0.011177667,,
2500,0.001178086,0.014172495,0.011392205,,
2600,0.001164906,0.014268469,0.011651671,,
2700,0.001230854,0.015477114,0.012955677,,
2800,0.00123381,0.015873278,0.012301737,,
2900,0.001352357,0.017189654,0.012118015,,
3000,0.001293629,0.01589406,0.012565723,,
3100,0.00134766,0.015996133,0.014662458,,
3200,0.001367242,0.016333265,0.012705658,,
3300,0.000666142,0.016008596,0.013364382,,
3400,0.001406347,0.01688453,0.014059725,,
3500,0.001418212,0.017336696,0.013654125,,
3600,0.001470301,0.017487198,0.01412029,,
3700,0.001478484,0.018325939,0.014733457,,
3800,0.001521931,0.018431653,0.01447981,,
3900,0.001540951,0.018862987,0.014891589,,
4000,0.001598168,0.018905186,0.014797283,,
4100,0.002177165,0.019875409,0.01533776,,
4200,0.002189195,0.019920218,0.015789931,,
4300,0.002234552,0.019206945,0.015981739,,
4400,0.002238357,0.020767237,0.016109584,,
4500,0.001291596,0.019801707,0.016383673,,
4600,0.00221521,0.021558492,0.016069389,,
4700,0.002369329,0.02138931,0.017130675,,
4800,0.002523363,0.022074111,0.016504145,,
4900,0.002248496,0.026288931,0.018346193,,
5000,0.001983145,0.022147451,0.019238485,,
5100,0.002081719,0.023390626,0.017258089,,
5200,0.001861477,0.023242944,0.017876392,,
5300,0.001706394,0.022392373,0.017931333,,
5400,0.000901718,0.022735069,0.017928266,,
