numero de elementos ; tempo
1 ; 0.012452868
10 ; 0.005717304
20 ; 0.004887302
30 ; 0.006870509
40 ; 0.008038506
50 ; 0.008688462
60 ; 0.009097564
70 ; 0.010637246
80 ; 0.011163792
90 ; 0.012042128
100 ; 0.013091243
110 ; 0.014065293
120 ; 0.014776805
130 ; 0.012204772
140 ; 0.015320739
150 ; 0.018405897
160 ; 0.016360567
170 ; 0.017722399
180 ; 0.015007663
190 ; 0.019355679
200 ; 0.019843661
210 ; 0.019837008
220 ; 0.017794064
230 ; 0.024563164
240 ; 0.018662428
250 ; 0.02221441
260 ; 0.01659578
270 ; 0.017212277
280 ; 0.017875338
290 ; 0.020010253
300 ; 0.016433633
310 ; 0.015543879
320 ; 0.015805501
330 ; 0.017116704
340 ; 0.012180233
350 ; 0.013507488
360 ; 0.018121915
370 ; 0.018438518
380 ; 0.018603088
390 ; 0.012781103
400 ; 0.015064149
410 ; 0.018940129
420 ; 0.013409112
430 ; 0.020926192
440 ; 0.014395963
450 ; 0.014105912
460 ; 0.013266144
470 ; 0.012201232
480 ; 0.011500894
490 ; 0.01218295
500 ; 0.012822588
510 ; 0.013368587
520 ; 0.010795786
530 ; 0.00982253
540 ; 0.009227257
550 ; 0.008979466
560 ; 0.010177339
570 ; 0.009121517
580 ; 0.009733679
590 ; 0.011423114
600 ; 0.01109931
610 ; 0.008753586
620 ; 0.010628973
630 ; 0.010364454
640 ; 0.014306385
650 ; 0.010745879
660 ; 0.010638234
670 ; 0.010807342
680 ; 0.010863342
690 ; 0.010778889
700 ; 0.011133748
710 ; 0.01093701
720 ; 0.011355719
730 ; 0.011258135
740 ; 0.011360642
750 ; 0.010797215
760 ; 0.011106653
770 ; 0.010610746
780 ; 0.011380505
790 ; 0.011549947
800 ; 0.010669132
810 ; 0.016284603
820 ; 0.010458316
830 ; 0.011270965
840 ; 0.014469805
850 ; 0.011704979
860 ; 0.011202538
870 ; 0.010111005
880 ; 0.00906173
890 ; 0.008859247
900 ; 0.008662875
910 ; 0.008684438
920 ; 0.008607785
930 ; 0.00867171
940 ; 0.009282851
950 ; 0.008537261
960 ; 0.008222749
970 ; 0.008584342
980 ; 0.008785669
990 ; 0.008555389
1000 ; 0.008707436
