numero de elementos ; tempo
1 ; 0.018889777
10000 ; 0.215002861
20000 ; 0.16353269
30000 ; 0.185399643
40000 ; 0.223233103
50000 ; 0.252151687
60000 ; 0.327941127
70000 ; 0.298917169
80000 ; 0.331067279
90000 ; 0.373565232
100000 ; 0.512628665
110000 ; 0.510202324
120000 ; 0.574053622
130000 ; 0.587910364
140000 ; 0.67954916
150000 ; 0.728695879
160000 ; 0.789451886
170000 ; 0.777927366
180000 ; 0.876061051
190000 ; 0.968103641
200000 ; 0.955460282
210000 ; 1.043638166
220000 ; 1.082286417
230000 ; 1.149595049
240000 ; 1.282931093
250000 ; 1.215195588
260000 ; 1.328103402
270000 ; 1.2992052
280000 ; 1.454467044
290000 ; 1.567076367
300000 ; 1.629853583
310000 ; 1.722599728
320000 ; 1.673688873
330000 ; 1.77419431
340000 ; 1.904216305
350000 ; 1.978763036
360000 ; 1.985193106
370000 ; 2.242194275
380000 ; 2.411651788
390000 ; 2.494546777
400000 ; 2.258858506
410000 ; 2.295020236
420000 ; 2.348697624
430000 ; 2.61760685
440000 ; 2.682435758
450000 ; 2.741006922
460000 ; 2.952908366
470000 ; 2.689894256
480000 ; 3.048983373
490000 ; 2.858632749
500000 ; 3.161422309
510000 ; 3.100061024
520000 ; 3.071863907
530000 ; 3.019026006
540000 ; 3.407993019
550000 ; 3.416374788
560000 ; 3.741819538
570000 ; 3.494778485
580000 ; 3.574382784
590000 ; 3.671826655
600000 ; 3.594277342
610000 ; 3.748923755
620000 ; 3.831487517
630000 ; 3.848124954
640000 ; 3.832315298
650000 ; 4.229099271
660000 ; 3.837022462
670000 ; 4.149544079
680000 ; 3.941552767
690000 ; 4.440108635
700000 ; 4.217402972
710000 ; 4.001619674
720000 ; 4.45474001
730000 ; 4.915356769
740000 ; 5.106401046
750000 ; 4.997022032
760000 ; 4.753864834
770000 ; 4.757349465
780000 ; 5.213474313
790000 ; 5.339073278
800000 ; 5.208186582
810000 ; 5.660752677
820000 ; 5.584522628
830000 ; 5.507664848
840000 ; 5.464892041
850000 ; 5.866766887
860000 ; 5.731406434
870000 ; 5.95488412
880000 ; 6.057182444
890000 ; 5.727721311
900000 ; 6.108725216
910000 ; 5.747714467
920000 ; 6.151625321
930000 ; 6.283782726
940000 ; 6.317453763
950000 ; 6.563799377
960000 ; 6.646646231
970000 ; 6.409548137
980000 ; 7.11427736
990000 ; 7.180706952
1000000 ; 7.67019805
