numero de elementos ; tempo
1 ; 0.007139246
10 ; 0.003940088
20 ; 0.004339896
30 ; 0.004882601
40 ; 0.006367746
50 ; 0.006769896
60 ; 0.0073647
70 ; 0.008348794
80 ; 0.008079536
90 ; 0.008094288
100 ; 0.009525617
110 ; 0.010878729
120 ; 0.010025583
130 ; 0.010524298
140 ; 0.011329956
150 ; 0.011854053
160 ; 0.010522974
170 ; 0.013757164
180 ; 0.010450274
190 ; 0.012451689
200 ; 0.011658683
210 ; 0.012853434
220 ; 0.012593804
230 ; 0.013833358
240 ; 0.014241602
250 ; 0.014784144
260 ; 0.013356591
270 ; 0.011494252
280 ; 0.011206627
290 ; 0.013124603
300 ; 0.011415486
310 ; 0.009261081
320 ; 0.010522309
330 ; 0.012306093
340 ; 0.012014805
350 ; 0.011636575
360 ; 0.011032458
370 ; 0.012132981
380 ; 0.010943947
390 ; 0.010522521
400 ; 0.013638429
410 ; 0.010391418
420 ; 0.011301481
430 ; 0.011986889
440 ; 0.011608612
450 ; 0.009690909
460 ; 0.008381616
470 ; 0.010689834
480 ; 0.007287048
490 ; 0.006356947
500 ; 0.006282957
510 ; 0.006298165
520 ; 0.006647909
530 ; 0.006821231
540 ; 0.00691406
550 ; 0.00699579
560 ; 0.007335877
570 ; 0.007400353
580 ; 0.007667689
590 ; 0.007501703
600 ; 0.007529463
610 ; 0.007508629
620 ; 0.007553597
630 ; 0.00754401
640 ; 0.007654288
650 ; 0.007577775
660 ; 0.007719807
670 ; 0.007712231
680 ; 0.007788621
690 ; 0.007935166
700 ; 0.007770978
710 ; 0.007871414
720 ; 0.007907641
730 ; 0.007916475
740 ; 0.008215675
750 ; 0.008047924
760 ; 0.007836862
770 ; 0.007673025
780 ; 0.008099243
790 ; 0.008325844
800 ; 0.008369171
810 ; 0.008353302
820 ; 0.008317684
830 ; 0.008448761
840 ; 0.008441946
850 ; 0.008632171
860 ; 0.008769479
870 ; 0.009133178
880 ; 0.008885385
890 ; 0.008825937
900 ; 0.008891999
910 ; 0.008993567
920 ; 0.008848353
930 ; 0.008979927
940 ; 0.008852995
950 ; 0.008915746
960 ; 0.008950827
970 ; 0.008990493
980 ; 0.009285126
990 ; 0.009102073
1000 ; 0.009237623
