numero de elementos ; tempo
1 ; 0.008995714
10 ; 0.003730408
20 ; 0.003421665
30 ; 0.00465517
40 ; 0.004724759
50 ; 0.01482901
60 ; 0.005764687
70 ; 0.005707348
80 ; 0.005283438
90 ; 0.005277558
100 ; 0.006088623
110 ; 0.005548075
120 ; 0.00557846
130 ; 0.005738712
140 ; 0.005842608
150 ; 0.007326047
160 ; 0.007385346
170 ; 0.009384339
180 ; 0.004103841
190 ; 0.004032291
200 ; 0.009033939
210 ; 0.005340777
220 ; 0.003945549
230 ; 0.008013615
240 ; 0.004293008
250 ; 0.004499327
260 ; 0.006358161
270 ; 0.006871263
280 ; 0.00741328
290 ; 0.00544222
300 ; 0.00678158
310 ; 0.006538015
320 ; 0.004996747
330 ; 0.005076139
340 ; 0.006761488
350 ; 0.00677962
360 ; 0.00685264
370 ; 0.007672036
380 ; 0.006476267
390 ; 0.010672732
400 ; 0.009345624
410 ; 0.005655891
420 ; 0.005882303
430 ; 0.00642579
440 ; 0.005561797
450 ; 0.005482897
460 ; 0.006604175
470 ; 0.00798029
480 ; 0.008444386
490 ; 0.006449803
500 ; 0.009404432
510 ; 0.0059367
520 ; 0.005768117
530 ; 0.006205258
540 ; 0.005897495
550 ; 0.005848978
560 ; 0.005965615
570 ; 0.005815653
580 ; 0.006257696
590 ; 0.008105257
600 ; 0.006720322
610 ; 0.00861787
620 ; 0.006152331
630 ; 0.006560069
640 ; 0.006179775
650 ; 0.006329246
660 ; 0.006823726
670 ; 0.00635669
680 ; 0.007585294
690 ; 0.012504611
700 ; 0.006676216
710 ; 0.008512505
720 ; 0.007153053
730 ; 0.006933992
740 ; 0.006934972
750 ; 0.008252278
760 ; 0.007478949
770 ; 0.006933992
780 ; 0.008423803
790 ; 0.007378975
800 ; 0.007258908
810 ; 0.008109178
820 ; 0.00840077
830 ; 0.00953136
840 ; 0.026022685
850 ; 0.007566181
860 ; 0.007643123
870 ; 0.007746527
880 ; 0.009800407
890 ; 0.007750448
900 ; 0.010475723
910 ; 0.010468372
920 ; 0.009627413
930 ; 0.007968529
940 ; 0.009640645
950 ; 0.007669096
960 ; 0.007591665
970 ; 0.008129761
980 ; 0.00918096
990 ; 0.007647043
1000 ; 0.012516373
